日期,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,吸收投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,净利润
2025-09-30,7131000000.0,658000000.0,372000000.0,8162000000.0,3692000000.0,1163000000.0,980000000.0,134000000.0,5969000000.0,2193000000.0,141000000.0,43532299.99999999,12209100.0,,10451300.000000002,206999999.99999997,2482000000.0,853999999.9999999,,15415600.0,3351000000.0,-3144000000.0,,9368000000.0,116000000.0,9483000000.0,6505000000.0,1058000000.0,192000000.0,7754000000.000001,1729000000.0,75732400.0,853999999.9999999,5635000000.0,6489000000.0,
2025-06-30,5144000000.0,501000000.0,242000000.0,5887000000.0,2369000000.0,796000000.0,814000000.0,87053300.0,4067000000.0,1820000000.0,61006899.99999999,11008400.0,995000.0,,6801200.0,79811500.0,1811000000.0,1310000000.0,,9330300.0,3130000000.0,-3050000000.0,,7592000000.0,92683600.0,7684999999.999999,4188000000.000001,754000000.0,132000000.0,5074000000.0,2611000000.0,113000000.0,1494000000.0,5635000000.0,7129000000.000001,1512000000.0
2025-03-31,2737000000.0,250000000.0,116000000.0,3104000000.0,1112000000.0,403000000.0,440000000.00000006,197000000.0,2152000000.0,952000000.0,61006899.99999999,4251400.0,752000.0,,6395100.0,72405300.0,886999999.9999999,350000000.0,,2620600.0,1240000000.0,-1167000000.0,,4358000000.0,7375300.0,4365000000.0,1113000000.0,548000000.0,80678500.0,1742000000.0000002,2623000000.0,2809400.0,2411000000.0,5635000000.0,8045999999.999999,
2024-12-31,14032000000.0,762000000.0,493000000.0,15288000000.0,4460000000.0,1380000000.0,3590000000.0,303000000.0,9734000000.0,5554000000.0,,363000000.0,1724000.0,,8273300.0,373000000.0,4524000000.0,1723000000.0,,9555300.0,6257000000.0,-5883000000.0,5440000.0,9681000000.0,235000000.0,9922000000.0,6633000000.0,6186000000.0,343000000.0,13163000000.0,-3240999999.9999995,-125000000.0,-3695000000.000001,9330000000.0,5635000000.0,-29242300.0
2024-09-30,11312000000.0,593000000.0,303000000.0,12208000000.0,3493000000.0,1047000000.0,3263000000.0000005,213000000.0,8015000000.000001,4192000000.0,650000000.0,369000000.0,271600.0,,8082800.0,1028000000.0,3663000000.000001,2023000000.0,,6530400.0,5693000000.0,-4665000000.0,5440000.0,8787000000.0,231000000.0,9024000000.0,5372000000.0,6028000000.0,183000000.0,11583000000.0,-2559000000.0,-51439799.99999999,-3084000000.0,9330000000.0,6247000000.0,
2024-06-30,7943000000.000001,412000000.0,235000000.0,8590000000.0,2449000000.0,698000000.0,3099000000.0,109000000.0,6354000000.0,2236000000.0,,355000000.0,2700.0,,4685800.0,360000000.0,2430000000.0,1716000000.0,,5045500.0,4151000000.0,-3790999999.999999,5440000.0,7262000000.0,148000000.0,7416000000.0,4620000000.0,5091000000.0,117000000.0,9828000000.0,-2412000000.0,-100000000.0,-4068000000.0,9330000000.0,5263000000.0,463000000.0
2024-03-31,4825000000.0,223000000.0,84770100.0,5132000000.0,1173000000.0,310000000.0,451999999.99999994,53223000.0,1988000000.0,3144000000.0,240000000.0,1714800.0,,,3435800.0,245000000.00000003,1269000000.0,1066000000.0,,4197000.0,2339000000.0,-2093000000.0,,3415000000.0,86331600.0,3502000000.0000005,3881000000.0,609000000.0,54002200.0,4543000000.0,-1042000000.0,-225000000.0,-215000000.0,9330000000.0,9115000000.0,
2023-12-31,45960000000.0,1084000000.0,571000000.0,47615000000.0,8195999999.999999,1148000000.0,15326000000.0,256000000.0,24927000000.0,22688000000.0,,2404000000.0,14370200.0,,5718800.0,2424000000.0,4443000000.0,,,4168500.0,4447000000.0,-2023000000.0,550000000.0,10901000000.0,18024300.0,11469000000.0,8918000000.0,25757000000.0,231999999.99999997,34907000000.0,-23438000000.0,-187000000.0,-2959000000.0,12290000000.0,9330000000.0,25663000000.0
2023-09-30,35422000000.0,462000000.0,462000000.0,36346000000.0,6445999999.999999,775000000.0,8690000000.0,400000000.0,16310000000.0,20035000000.0,,1932000000.0,26900.0,,7296100.0,1939000000.0,2839000000.0,,,2134200.0,2841000000.0,-902000000.0,392000000.0,7137000000.0,11237100.0,7540000000.000001,5607000000.0,25066000000.0,97184000.0,30770999999.999996,-23230000000.0,-498000000.00000006,-4595000000.0,12290000000.0,7695000000.0,
2023-06-30,24164000000.0,338000000.0,238000000.0,24740000000.0,4747000000.0,525000000.0,6934000000.0,433000000.0,12639000000.0,12101000000.0,,1576000000.0,26900.0,,3162100.0,1579000000.0,1707999999.9999998,,,1138200.0,1709000000.0,-130000000.0,1990000.0,7090000000.000001,9630000.0,7102000000.0,5606000000.0,15632000000.0,126000000.0,21365000000.0,-14263000000.0,91156700.0,-2200000000.0,12290000000.0,10090000000.0,16488999999.999998
2023-03-31,10216000000.0,107000000.0,127000000.0,10450000000.0,2128000000.0,246000000.0,2906000000.0,235000000.0,5514000000.0,4936000000.0,,13132300.0,26900.0,,88600.0,13247800.0,721000000.0,,,647099.9999999999,722000000.0,-709000000.0,1990000.0,3968000000.0,,3970000000.000001,3529000000.0,5300000000.0,43240800.0,8873000000.0,-4903000000.0,-80737900.0,-756000000.0,12290000000.0,11534000000.0,
2022-12-31,34806000000.0,537000000.0,95632700.0,35439000000.0,4740000000.0,720000000.0,9375000000.0,307000000.0,15141000000.0,20298000000.0,,3284000000.0000005,5000.0,,879100.0,3285000000.0,1716000000.0,823000000.0,,1422700.0,2541000000.0,744000000.0,11284000000.0,13059000000.0,197000000.0,24540000000.0,25600000000.0,9085000000.0,425000000.0,35111000000.0,-10571000000.0,52885300.0,10524000000.0,1766000000.0,12290000000.0,31108000000.0
2022-09-30,19293000000.0,459000000.0,52515800.0,19804000000.0,2749000000.0,523000000.00000006,4413000000.0,384000000.0,8069000000.0,11735000000.0,,1218000000.0,5000.0,,879100.0,1219000000.0,1025000000.0,127000000.0,,240200.0,1153000000.0,65570000.0,11284000000.0,3810000000.0,178000000.0,15272000000.0,18279000000.0,4197000000.0,154000000.0,22630000000.0,-7356999999.999999,491000000.0,4935000000.0,1766000000.0,6701000000.000001,
2022-06-30,11146000000.0,329000000.0,20813800.0,11496000000.0,1614999999.9999998,345000000.0,2364000000.0,108000000.0,4432000000.0,7064000000.0,,1175000000.0,5000.0,,,1175000000.0,576000000.0,6000000.0,,65800.0,582000000.0,593000000.0,,3332000000.0,71298200.0,3403000000.0,6655000000.0,1945000000.0,91145000.0,8691000000.0,-5289000000.0,121000000.0,2489000000.0,1766000000.0,4254999999.999999,12005000000.0
2022-03-31,5666000000.0,51649100.0,14999700.0,5733000000.0,593000000.0,157000000.0,1046000000.0,100000000.0,1896000000.0,3836999999.999999,,3546400.0,8300.0,,,3554700.0000000005,193000000.0,,,,193000000.0,-190000000.0,,1198000000.0,6200.0,1198000000.0,3967000000.0,385000000.0,66624200.0,4418000000.0,-3220000000.0000005,32478800.0,459000000.0,1766000000.0,2226000000.0,
