日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
2025-09-30,按产品分类,茅台酒,110513502600.0,0.860337,,,,,
2025-09-30,按产品分类,系列酒,17884354800.0,0.139228,,,,,
2025-09-30,按地区分类,国内,124504774500.0,0.969258,,,,,
2025-09-30,按地区分类,国外,3893082900.0,0.030307,,,,,
2025-06-30,按地区分类,国内,86490107535.14,0.967566,7544365749.45,0.970026,78945741785.69,0.967332,0.912772
2025-06-30,按产品分类,茅台酒,75589948903.79,0.845626,4649298661.23,0.597789,70940650242.56,0.869244,0.938493
2025-06-30,按产品分类,系列酒,13762529352.77,0.153962,3083996598.51,0.396528,10678532754.26,0.130845,0.775914
2025-06-30,按地区分类,国外,2899246881.7,0.032434,233125334.48,0.029974,2666121547.22,0.032668,0.919591
2025-06-30,按产品分类,其他,36876160.28,0.000413,44195824.19,0.005683,-7319663.91,-9e-05,-0.198493
2025-03-31,按产品分类,茅台酒,43557477400.0,0.860803,,,,,
2025-03-31,按产品分类,系列酒,7022479800.0,0.138782,,,,,
2025-03-31,按地区分类,国内,49461416900.0,0.97748,,,,,
2025-03-31,按地区分类,国外,1118540300.0,0.022105,,,,,
2024-12-31,按产品分类,其他,287314224.32,0.001681,159486555.09,0.011566,127827669.23,0.000814,0.444905
2024-12-31,按行业分类,酒类,170611838052.02,0.998319,13629995812.89,0.988434,156981842239.13,0.999186,0.920111
2024-12-31,按行业分类,其他,287314224.32,0.001681,159486555.09,0.011566,127827669.23,0.000814,0.444905
2024-12-31,按地区分类,国内,165423308808.24,0.967959,13226875459.6,0.9592,152196433348.64,0.968727,0.920042
2024-12-31,按产品分类,茅台酒,145928075955.31,0.853884,8662079388.78,0.628166,137265996566.53,0.873695,0.940641
2024-12-31,按地区分类,国外,5188529243.78,0.03036,403120353.29,0.029234,4785408890.49,0.030459,0.922305
2024-12-31,按地区分类,其他,287314224.32,0.001681,159486555.09,0.011566,127827669.23,0.000814,0.444905
2024-12-31,按产品分类,其他,24683762096.71,0.144435,4967916424.11,0.360269,19715845672.6,0.125491,0.798737
2024-09-30,按产品分类,茅台酒,101126021100.0,0.837301,,,,,
2024-09-30,按产品分类,系列酒,19392683600.0,0.160567,,,,,
2024-09-30,按地区分类,国内,117036160700.0,0.969034,,,,,
2024-09-30,按地区分类,国外,3482544000.0,0.028835,,,,,
2024-06-30,按产品分类,其他,13147027931.0,0.160465,2616526255.96,0.387583,10530501675.04,0.14007,0.80098
2024-06-30,按产品分类,茅台酒,68566907069.08,0.836886,4025337733.74,0.596269,64541569335.34,0.858493,0.941293
2024-06-30,按产品分类,其他,217042667.67,0.002649,109015261.49,0.016148,108027406.18,0.001437,0.497724
2024-06-30,按地区分类,国外,2213359722.27,0.027015,163816852.45,0.024266,2049542869.82,0.027262,0.925987
2024-06-30,按地区分类,国内,79717617945.48,0.972985,6587062398.74,0.975734,73130555546.74,0.972738,0.91737
2024-03-31,按产品分类,茅台酒,39706812100.0,0.867425,,,,,
2024-03-31,按产品分类,系列酒,5936155500.0,0.12968,,,,,
2024-03-31,按地区分类,国内,44829669600.0,0.979337,,,,,
2024-03-31,按地区分类,国外,813298000.0,0.017767,,,,,
2023-12-31,按产品分类,茅台酒,126589066691.89,0.857106,7445470669.11,0.627395,119143596022.78,0.877176,0.941184
2023-12-31,按产品分类,其他,20629929589.15,0.139681,4174732984.21,0.351785,16455196604.94,0.121149,0.797637
2023-12-31,按行业分类,酒类,147218996281.04,0.996787,11620203653.32,0.979181,135598792627.72,0.998325,0.921069
2023-12-31,按行业分类,其他,474608713.1,0.003213,247070198.46,0.020819,227538514.64,0.001675,0.479423
2023-12-31,按产品分类,其他,474608713.1,0.003213,247070198.46,0.020819,227538514.64,0.001675,0.479423
2023-12-31,按地区分类,其他,474608713.1,0.003213,247070198.46,0.020819,227538514.64,0.001675,0.479423
2023-12-31,按地区分类,国内,142868885823.91,0.967333,11280212551.3,0.950531,131588673272.61,0.968801,0.921045
2023-12-31,按地区分类,国外,4350110457.13,0.029454,339991102.02,0.028649,4010119355.11,0.029524,0.921843
2023-09-30,按产品分类,茅台酒,87269566200.0,0.845076,,,,,
2023-09-30,按产品分类,系列酒,15593999000.0,0.151005,,,,,
2023-09-30,按地区分类,国内,99879516000.0,0.967184,,,,,
2023-09-30,按地区分类,国外,2984049200.0,0.028896,,,,,
2023-06-30,按产品分类,系列酒,10073871100.0,0.144789,,,,,
2023-06-30,按产品分类,其他,223549173.58,0.003213,121954748.38,0.021371,101594425.2,0.001591,0.454461
2023-06-30,按产品分类,茅台酒,59278599200.0,0.851998,,,,,
2023-06-30,按地区分类,国外,2041773300.0,0.029346,,,,,
2023-06-30,按地区分类,其他,223549173.58,0.003213,121954748.38,0.021371,101594425.2,0.001591,0.454461
2023-06-30,按地区分类,国内,67310697000.0,0.967441,,,,,
2023-03-31,按产品分类,茅台酒,33721634500.0,0.870105,,,,,
2023-03-31,按产品分类,系列酒,5014150200.0,0.129378,,,,,
2023-03-31,按地区分类,国内,38077559200.0,0.982499,,,,,
2023-03-31,按地区分类,国外,658225500.0,0.016984,,,,,
2022-12-31,按产品分类,其他,15938647070.77,0.128434,3630302426.92,0.359668,12308344643.85,0.107962,0.772233
2022-12-31,按行业分类,其他,327511423.28,0.002639,197355279.83,0.019553,130156143.45,0.001142,0.397409
2022-12-31,按产品分类,茅台酒,107833685277.94,0.868927,6265810909.88,0.620779,101567874368.06,0.890896,0.941894
2022-12-31,按地区分类,国内,119532752861.59,0.963198,9558682149.59,0.947017,109974070712.0,0.964631,0.920033
2022-12-31,按行业分类,酒类,123772332348.71,0.997361,9896113336.8,0.980447,113876219011.91,0.998858,0.920046
2022-12-31,按地区分类,国外,4239579487.12,0.034163,337431187.21,0.033431,3902148299.91,0.034227,0.920409
2022-12-31,按产品分类,其他,327511423.28,0.002639,197355279.83,0.019553,130156143.45,0.001142,0.397409
2022-12-31,按地区分类,其他,327511423.28,0.002639,197355279.83,0.019553,130156143.45,0.001142,0.397409
2022-09-30,按产品分类,茅台酒,74399892100.0,0.853599,,,,,
2022-09-30,按产品分类,系列酒,12540388800.0,0.143877,,,,,
2022-09-30,按地区分类,国内,84167485400.0,0.965664,,,,,
2022-09-30,按地区分类,国外,2772795500.0,0.031813,,,,,
2022-06-30,按产品分类,茅台酒,49965005400.0,0.867194,,,,,
2022-06-30,按产品分类,系列酒,7598243500.0,0.131875,,,,,
2022-06-30,按产品分类,其他,53617763.39,0.000931,47094000.31,0.010358,6523763.08,0.000123,0.121672
2022-06-30,按地区分类,国内,55497142800.0,0.96321,,,,,
2022-06-30,按地区分类,国外,2066106100.0,0.035859,,,,,
2022-06-30,按地区分类,其他,53617763.39,0.000931,47094000.31,0.010358,6523763.08,0.000123,0.121672
2022-03-31,按地区分类,国外,21400627300.0,0.662645,,,,,
2022-03-31,按产品分类,茅台酒,28859590800.0,0.893603,,,,,
2022-03-31,按产品分类,系列酒,3427782800.0,0.106137,,,,,
2022-03-31,按地区分类,国内,10886746300.0,0.337095,,,,,
