报告期,报表核心指标,*所有者权益（或股东权益）合计,*资产合计,*负债合计,*归属于母公司所有者权益合计,报表全部指标,流动资产,货币资金,交易性金融资产,应收票据及应收账款,其中：应收票据,应收账款,预付款项,其他应收款合计,其中：应收利息,其他应收款,存货,其他流动资产,总现金,流动资产合计,非流动资产,可供出售金融资产,持有至到期投资,长期股权投资,其他权益工具投资,其他非流动金融资产,投资性房地产,固定资产合计,其中：固定资产,固定资产清理,在建工程合计,其中：在建工程,工程物资,无形资产,商誉,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产合计,流动负债,短期借款,以公允价值计量且其变动计入当期损益的金融负债,应付票据及应付账款,其中：应付票据,应付账款,预收款项,合同负债,应付职工薪酬,应交税费,其他应付款合计,其中：应付利息,应付股利,其他应付款,一年内到期的非流动负债,其他流动负债,流动负债合计,非流动负债,长期借款,应付债券,长期应付款合计,其中：长期应付款,专项应付款,预计负债,递延所得税负债,递延收益-非流动负债,其他非流动负债,非流动负债合计,负债合计,所有者权益（或股东权益）,实收资本（或股本）,资本公积,减：库存股,其他综合收益,盈余公积,未分配利润,归属于母公司所有者权益合计,少数股东权益,所有者权益（或股东权益）合计,负债和所有者权益（或股东权益）合计
2017-12-31,,106.35亿,178.40亿,72.05亿,90.70亿,,,55.24亿,3.52万,16.11亿,12.86亿,3.24亿,1904.49万,7843.83万,2271.81万,4026.33万,4.77亿,1.56亿,55.24亿,78.65亿,,21.40亿,False,6.60亿,False,False,False,14.67亿,14.67亿,False,19.51亿,19.51亿,False,30.14亿,4.16亿,False,2.00亿,1.26亿,99.75亿,178.40亿,,8.42亿,265.78万,6.74亿,1.08亿,5.66亿,1.92亿,False,9124.89万,3.98亿,9775.80万,2577.96万,143.98万,7053.86万,2.27亿,603.93万,25.30亿,,14.33亿,25.27亿,False,False,False,1.27亿,5.45亿,4039.52万,False,46.75亿,72.05亿,,11.42亿,41.90亿,5395.79万,5978.60万,1.05亿,36.16亿,90.70亿,15.65亿,106.35亿,178.40亿
2017-09-30,,83.33亿,143.23亿,59.90亿,67.25亿,,,28.23亿,4859.37万,14.27亿,11.71亿,2.56亿,6281.12万,5833.96万,1898.03万,2524.32万,4.54亿,3.88亿,28.72亿,52.62亿,,20.38亿,False,5.59亿,False,False,False,15.05亿,15.05亿,False,12.84亿,12.84亿,False,30.56亿,4.16亿,False,2.03亿,False,90.61亿,143.23亿,,14.14亿,9071.57万,5.14亿,5995.46万,4.54亿,8482.33万,False,8759.27万,3.14亿,1.59亿,5515.83万,215.04万,1.02亿,2.29亿,5.03亿,33.96亿,,12.69亿,5.99亿,False,False,False,1.23亿,5.54亿,4609.25万,False,25.95亿,59.90亿,,9.94亿,26.60亿,8093.68万,4779.84万,5977.56万,30.35亿,67.25亿,16.08亿,83.33亿,143.23亿
2017-06-30,,69.88亿,123.98亿,54.10亿,55.14亿,,,22.94亿,4968.54万,16.01亿,12.66亿,3.35亿,6704.35万,6257.10万,1536.72万,4720.37万,4.65亿,1.35亿,23.43亿,46.74亿,,12.34亿,False,5.52亿,False,False,False,14.73亿,14.73亿,False,8.53亿,8.53亿,False,29.78亿,4.16亿,False,2.18亿,False,77.24亿,123.98亿,,12.81亿,6488.52万,4.20亿,7150.84万,3.49亿,1.86亿,False,6783.22万,1.92亿,1.91亿,4430.47万,215.04万,1.45亿,3.75亿,5.04亿,32.83亿,,10.06亿,5.99亿,False,False,False,1.29亿,3.46亿,4398.37万,False,21.27亿,54.10亿,,9.94亿,26.54亿,8147.30万,-5.61亿,5977.56万,24.41亿,55.14亿,14.73亿,69.88亿,123.98亿
2017-03-31,,66.13亿,119.55亿,53.42亿,52.47亿,,,17.17亿,31.53万,14.52亿,13.13亿,1.39亿,5995.83万,5929.29万,141.66万,5787.63万,5.01亿,3.71亿,17.17亿,41.61亿,,13.08亿,False,5.52亿,False,False,False,14.87亿,14.87亿,False,5.80亿,5.80亿,False,29.90亿,4.16亿,False,2.08亿,2.53亿,77.94亿,119.55亿,,13.95亿,334.67万,3.85亿,7869.68万,3.06亿,2.20亿,False,6337.44万,2.77亿,1.10亿,2197.60万,60.95万,8704.85万,311.94万,5.02亿,29.57亿,,11.78亿,5.98亿,False,False,False,1.83亿,3.56亿,5444.59万,1224.28万,23.85亿,53.42亿,,9.94亿,26.47亿,8147.30万,-4.81亿,5977.56万,21.01亿,52.47亿,13.66亿,66.13亿,119.55亿
2016-12-31,,57.95亿,112.06亿,54.11亿,45.91亿,,,15.02亿,391.65万,14.27亿,12.18亿,2.09亿,3998.11万,5777.76万,214.92万,2410.73万,4.71亿,4.12亿,15.06亿,39.14亿,,10.96亿,False,5.56亿,False,False,False,14.80亿,14.80亿,False,3.57亿,3.57亿,False,28.55亿,4.16亿,False,2.78亿,2.54亿,72.92亿,112.06亿,,13.64亿,False,2.99亿,7280.82万,2.26亿,1.52亿,False,7832.41万,3.33亿,1.00亿,1317.83万,60.95万,8655.27万,1.44亿,4.98亿,29.69亿,,13.36亿,5.98亿,False,False,False,1.76亿,2.78亿,4026.46万,1082.21万,24.43亿,54.11亿,,9.94亿,26.41亿,8147.30万,-7.24亿,5977.56万,16.96亿,45.91亿,12.03亿,57.95亿,112.06亿
2016-09-30,,54.67亿,90.98亿,36.31亿,43.39亿,,,11.59亿,739.22万,11.92亿,10.14亿,1.78亿,2432.19万,1631.73万,129.10万,1502.63万,4.18亿,3.27亿,11.66亿,31.45亿,,False,False,5.51亿,False,False,False,15.09亿,15.09亿,False,2.29亿,2.29亿,False,28.94亿,4.16亿,False,1.12亿,2.42亿,59.53亿,90.98亿,,10.96亿,133.04万,2.43亿,7083.71万,1.72亿,9095.64万,False,6830.74万,3.20亿,1.06亿,341.94万,81.27万,1.01亿,1.35亿,False,20.61亿,,11.50亿,False,False,False,False,1.14亿,2.49亿,4516.05万,891.30万,15.70亿,36.31亿,,9.94亿,26.31亿,8147.30万,-6.57亿,3953.39万,14.07亿,43.39亿,11.28亿,54.67亿,90.98亿
2016-06-30,,48.38亿,81.89亿,33.51亿,38.16亿,,,8.81亿,683.68万,8.17亿,7.14亿,1.03亿,2862.24万,1830.26万,124.01万,1706.24万,4.45亿,1.07亿,8.88亿,23.03亿,,False,False,5.52亿,False,False,698.94万,15.36亿,15.36亿,False,1.78亿,1.78亿,False,28.11亿,4.16亿,False,1.47亿,2.38亿,58.86亿,81.89亿,,7.80亿,False,2.50亿,6525.40万,1.85亿,3773.59万,False,6304.84万,2.44亿,9281.51万,301.21万,81.27万,8899.03万,1.37亿,False,16.06亿,,13.42亿,False,False,False,False,1.09亿,2.42亿,4211.46万,732.17万,17.46亿,33.51亿,,9.94亿,26.03亿,8338.30万,-6.91亿,3953.39万,9.51亿,38.16亿,10.22亿,48.38亿,81.89亿
2016-03-31,,43.77亿,78.92亿,35.15亿,34.19亿,,,7.00亿,129.43万,7.41亿,6.68亿,7301.41万,2973.22万,1795.92万,73.24万,1722.68万,3.91亿,9904.82万,7.01亿,19.80亿,,False,False,5.37亿,False,False,709.08万,15.62亿,15.62亿,False,1.79亿,1.79亿,False,28.05亿,4.16亿,False,1.72亿,2.33亿,59.12亿,78.92亿,,8.41亿,190.10万,2.03亿,8288.27万,1.20亿,6302.64万,False,5767.90万,2.76亿,2.43亿,422.14万,1.47亿,9167.66万,6885.99万,False,17.55亿,,13.64亿,False,False,False,False,1.09亿,2.32亿,4617.44万,606.00万,17.60亿,35.15亿,,2.61亿,33.27亿,8419.57万,-6.95亿,3953.39万,5.66亿,34.19亿,9.59亿,43.77亿,78.92亿
2015-12-31,,40.72亿,75.16亿,34.44亿,30.72亿,,,5.76亿,173.48万,6.04亿,5.71亿,3243.40万,1690.47万,1199.77万,195.64万,1004.12万,4.00亿,1.00亿,5.78亿,17.11亿,,False,False,5.28亿,False,False,719.23万,15.68亿,15.68亿,False,1.67亿,1.67亿,False,26.69亿,4.16亿,False,2.19亿,2.32亿,58.06亿,75.16亿,,7.97亿,False,1.96亿,6342.97万,1.33亿,7228.83万,False,6011.67万,2.24亿,2.24亿,545.55万,False,2.19亿,7055.51万,False,16.45亿,,14.57亿,False,False,False,False,1.03亿,1.92亿,4091.78万,434.91万,17.99亿,34.44亿,,2.61亿,33.18亿,8419.57万,-7.49亿,3953.39万,2.82亿,30.72亿,10.00亿,40.72亿,75.16亿
2015-09-30,,37.81亿,73.92亿,36.11亿,28.99亿,,,8.75亿,False,4.65亿,2.03亿,2.63亿,2591.40万,2548.65万,81.87万,2466.77万,4.97亿,1.34亿,8.75亿,20.22亿,,False,False,5.25亿,False,False,729.38万,15.67亿,15.64亿,243.76万,1.59亿,1.59亿,False,25.03亿,4.16亿,False,1.86亿,False,53.70亿,73.92亿,,7.74亿,False,1.45亿,1119.67万,1.34亿,4179.49万,False,5744.46万,2.26亿,9103.19万,578.11万,False,8525.08万,5.15亿,False,18.51亿,,13.91亿,False,False,False,False,9815.63万,2.22亿,4564.06万,False,17.60亿,36.11亿,,2.61亿,33.05亿,False,-8.07亿,3078.69万,1.04亿,28.99亿,8.82亿,37.81亿,73.92亿
2015-06-30,,44.06亿,72.45亿,28.39亿,28.79亿,,,7.70亿,False,3.06亿,1.67亿,1.39亿,2711.40万,1820.76万,76.13万,1744.63万,4.83亿,1.16亿,7.70亿,17.19亿,,False,False,5.32亿,False,False,749.67万,16.34亿,16.32亿,243.76万,1.95亿,1.95亿,False,26.27亿,4.16亿,False,1.10亿,False,55.26亿,72.45亿,,9.26亿,False,1.51亿,False,1.51亿,1200.77万,False,5493.17万,1.64亿,5.66亿,324.30万,False,5.62亿,4.09亿,False,22.82亿,,2.59亿,False,False,False,False,1.03亿,1.50亿,4286.79万,False,5.57亿,28.39亿,,2.59亿,32.24亿,False,-7.21亿,3078.69万,8402.42万,28.79亿,15.27亿,44.06亿,72.45亿
2015-03-31,,45.66亿,63.18亿,17.52亿,28.69亿,,,8.61亿,False,3.40亿,1.90亿,1.51亿,4795.54万,1760.50万,272.58万,1487.92万,4.63亿,6539.66万,8.61亿,17.95亿,,61.06万,False,5.36亿,False,False,749.67万,9.81亿,9.78亿,228.81万,1.86亿,1.86亿,False,26.19亿,False,False,1.13亿,7539.82万,45.23亿,63.18亿,,6.41亿,False,9134.31万,False,9134.31万,445.39万,False,5265.61万,1.61亿,4.37亿,188.00万,False,4.35亿,7982.69万,False,14.67亿,,371.70万,False,False,False,False,1.02亿,1.38亿,3826.48万,False,2.85亿,17.52亿,,2.59亿,32.24亿,False,-7.20亿,3078.69万,7281.93万,28.69亿,16.97亿,45.66亿,63.18亿
2014-12-31,,47.44亿,61.29亿,13.84亿,29.57亿,,,4.36亿,False,3.15亿,1.52亿,1.63亿,3948.54万,1671.54万,228.01万,1443.53万,5.11亿,8600.56万,4.36亿,14.05亿,,61.06万,False,5.40亿,False,False,759.82万,10.28亿,10.26亿,228.81万,1.84亿,1.84亿,False,27.74亿,False,False,1.08亿,7706.63万,47.24亿,61.29亿,,5.96亿,False,1.12亿,False,1.12亿,488.11万,False,5376.47万,1.15亿,1.55亿,166.00万,False,1.53亿,8537.27万,False,11.21亿,,247.34万,False,False,False,False,1.08亿,1.19亿,3079.45万,False,2.63亿,13.84亿,,2.59亿,32.24亿,False,-6.01亿,3078.69万,4304.75万,29.57亿,17.87亿,47.44亿,61.29亿
2014-09-30,,49.93亿,66.18亿,16.25亿,29.70亿,,,7.23亿,False,2.61亿,1.41亿,1.20亿,2370.49万,1504.63万,229.79万,1274.84万,5.55亿,3366.28万,7.23亿,16.12亿,,118.76万,False,2.27亿,False,False,769.96万,10.60亿,10.58亿,228.81万,2.03亿,2.03亿,False,29.32亿,False,False,1.52亿,4.17亿,50.05亿,66.18亿,,5.94亿,False,1.17亿,False,1.17亿,482.91万,False,4766.76万,1.66亿,2.97亿,1873.87万,False,2.79亿,3245.76万,False,12.60亿,,8226.37万,False,5800.00万,False,5800.00万,8529.78万,1.04亿,False,3517.83万,3.65亿,16.25亿,,2.59亿,32.24亿,False,-4.82亿,3078.69万,-6298.61万,29.70亿,20.22亿,49.93亿,66.18亿
2014-06-30,,53.65亿,68.05亿,14.40亿,31.60亿,,,8.69亿,False,2.46亿,1.35亿,1.10亿,2033.00万,888.07万,318.10万,569.97万,5.76亿,2835.37万,8.69亿,17.49亿,,118.76万,1000.00万,2.42亿,False,False,780.11万,11.33亿,11.33亿,False,1.93亿,1.93亿,False,31.97亿,False,False,1.64亿,1.04亿,50.56亿,68.05亿,,5.61亿,False,1.19亿,False,1.19亿,316.85万,False,4674.27万,2.77亿,2245.75万,1713.98万,False,531.77万,3268.89万,False,10.62亿,,1.06亿,False,5800.00万,False,5800.00万,9262.63万,9028.30万,False,3053.50万,3.78亿,14.40亿,,2.59亿,32.22亿,False,False,3078.69万,-7003.45万,31.60亿,22.05亿,53.65亿,68.05亿
2014-03-31,,38.70亿,46.28亿,7.58亿,38.70亿,,,2.93亿,False,1.33亿,9584.70万,3749.30万,896.16万,264.41万,112.16万,152.25万,2.87亿,1889.03万,2.93亿,7.44亿,,118.16万,False,8398.07万,False,False,False,4.39亿,4.39亿,82.48万,1.24亿,1.24亿,False,1.33亿,False,False,709.60万,30.91亿,38.84亿,46.28亿,,3.51亿,False,5163.18万,False,5163.18万,425.75万,False,1194.34万,9498.68万,665.62万,20.09万,False,645.53万,3200.00万,False,5.52亿,,1.76亿,False,False,False,False,False,False,False,2979.56万,2.06亿,7.58亿,,2.59亿,36.36亿,False,False,1943.81万,-4490.38万,38.70亿,False,38.70亿,46.28亿
2013-12-31,,51.07亿,66.66亿,15.59亿,30.88亿,,,6.82亿,False,2.59亿,1.73亿,8605.21万,1393.31万,9339.96万,360.09万,8979.87万,5.86亿,3562.44万,6.82亿,16.70亿,,118.76万,False,2.44亿,False,False,800.40万,10.75亿,10.75亿,False,1.86亿,1.86亿,False,29.75亿,False,False,1.43亿,3.58亿,49.96亿,66.66亿,,5.73亿,False,1.48亿,False,1.48亿,766.53万,False,4831.48万,3.70亿,3301.34万,1125.93万,False,2175.40万,3776.16万,False,12.18亿,,1.80亿,False,False,False,False,8009.75万,4930.19万,2724.31万,False,3.41亿,15.59亿,,1.47亿,34.40亿,False,-4.44亿,3078.69万,-8745.40万,30.88亿,20.19亿,51.07亿,66.66亿
2013-09-30,,10.02亿,16.40亿,6.38亿,10.02亿,,,9345.17万,False,8715.31万,2631.81万,6083.50万,864.51万,238.81万,84.17万,154.64万,3.01亿,False,9345.17万,4.93亿,,False,False,8343.64万,False,False,False,2.84亿,2.84亿,False,2.87亿,2.87亿,False,1.34亿,False,False,72.05万,3.54亿,11.47亿,16.40亿,,3.29亿,False,4855.88万,False,4855.88万,758.32万,False,1215.55万,-2112.95万,329.02万,132.55万,False,196.46万,False,False,3.80亿,,2.30亿,False,False,False,False,False,False,False,2822.41万,2.58亿,6.38亿,,1.47亿,7.23亿,False,False,1943.81万,1.12亿,10.02亿,False,10.02亿,16.40亿
2013-06-30,,10.04亿,16.02亿,5.98亿,10.04亿,,,6676.69万,False,1.14亿,5896.74万,5480.49万,442.67万,250.11万,71.94万,178.18万,2.69亿,False,6676.69万,4.56亿,,False,False,8343.64万,False,False,False,2.85亿,2.85亿,False,2.86亿,2.86亿,False,1.33亿,False,False,68.12万,3.54亿,11.46亿,16.02亿,,2.90亿,False,4595.29万,False,4595.29万,600.80万,False,1114.87万,-1528.25万,249.60万,103.39万,False,146.21万,False,False,3.40亿,,2.30亿,False,False,False,False,False,False,False,2788.54万,2.58亿,5.98亿,,1.47亿,7.23亿,False,False,1943.81万,1.15亿,10.04亿,False,10.04亿,16.02亿
2013-03-31,,10.13亿,15.51亿,5.38亿,10.13亿,,,8847.01万,False,1.06亿,7932.94万,2709.60万,3.39亿,293.93万,89.83万,204.10万,2.26亿,False,8847.01万,7.63亿,,False,False,8328.12万,False,False,False,2.19亿,2.19亿,False,3.30亿,3.30亿,False,1.33亿,False,False,47.25万,1817.25万,7.88亿,15.51亿,,2.25亿,False,4130.12万,False,4130.12万,657.96万,False,1118.46万,-745.54万,247.08万,100.94万,False,146.14万,False,False,2.80亿,,2.30亿,False,False,False,False,False,False,False,2851.35万,2.59亿,5.38亿,,1.47亿,7.23亿,False,False,1943.81万,1.24亿,10.13亿,False,10.13亿,15.51亿
2012-12-31,,10.11亿,15.69亿,5.57亿,10.11亿,,,5.00亿,False,8939.01万,6335.91万,2603.10万,615.26万,368.02万,199.46万,168.56万,2.33亿,False,5.00亿,8.32亿,,False,False,8309.08万,False,False,False,2.02亿,2.02亿,False,3.00亿,3.00亿,False,1.32亿,False,False,44.36万,1566.04万,7.37亿,15.69亿,,2.47亿,False,4135.74万,False,4135.74万,574.96万,False,1308.63万,-1023.16万,184.37万,87.79万,False,96.58万,False,False,2.98亿,,2.30亿,False,False,False,False,False,False,False,2895.10万,2.59亿,5.57亿,,1.47亿,7.23亿,False,False,1943.81万,1.22亿,10.11亿,False,10.11亿,15.69亿
2012-09-30,,10.07亿,11.90亿,1.83亿,10.07亿,,,1.87亿,False,1.17亿,8507.27万,3225.84万,1023.89万,502.85万,285.86万,216.99万,2.00亿,False,1.87亿,5.20亿,,False,False,8268.26万,False,False,False,1.59亿,1.59亿,1300.00,2.89亿,2.89亿,False,1.32亿,False,False,30.69万,False,6.70亿,11.90亿,,9721.19万,False,3725.86万,False,3725.86万,1007.02万,False,1092.76万,-109.38万,288.33万,22.55万,132.19万,133.59万,False,False,1.57亿,,False,False,False,False,False,False,False,False,2538.57万,2538.57万,1.83亿,,1.47亿,7.23亿,False,False,1546.48万,1.22亿,10.07亿,False,10.07亿,11.90亿
2012-06-30,,9.91亿,11.01亿,1.10亿,9.91亿,,,2.02亿,False,1.29亿,1.02亿,2692.69万,6175.11万,627.70万,295.38万,332.31万,1.43亿,False,2.02亿,5.41亿,,False,False,8268.26万,False,False,False,1.60亿,1.60亿,1300.00,1.80亿,1.80亿,False,1.30亿,False,False,31.33万,False,5.60亿,11.01亿,,1886.53万,False,3501.24万,135.60万,3365.64万,899.35万,False,1122.22万,-106.00万,1158.58万,False,1069.36万,89.22万,False,False,8461.92万,,False,False,False,False,False,False,False,False,2508.80万,2508.80万,1.10亿,,1.47亿,7.23亿,False,False,1546.48万,1.06亿,9.91亿,False,9.91亿,11.01亿
2012-03-31,,9.92亿,11.07亿,1.15亿,9.92亿,,,2.89亿,False,1.03亿,7279.61万,3034.09万,4856.98万,783.18万,379.00万,404.18万,1.77亿,False,2.89亿,6.26亿,,False,False,8239.70万,False,False,False,1.63亿,1.63亿,1300.00,9692.12万,9692.12万,False,4468.98万,False,False,65.87万,8710.14万,4.81亿,11.07亿,,1436.77万,False,4104.35万,1181.50万,2922.85万,918.68万,False,934.24万,-88.50万,86.44万,False,False,86.44万,1500.00万,False,8891.97万,,False,False,False,False,False,False,False,False,2578.15万,2578.15万,1.15亿,,1.47亿,7.23亿,False,False,1546.48万,1.07亿,9.92亿,False,9.92亿,11.07亿
2011-12-31,,9.84亿,11.23亿,1.39亿,9.84亿,,,3.77亿,False,1.13亿,8581.94万,2690.75万,2084.79万,388.36万,236.28万,152.07万,1.84亿,False,3.77亿,6.99亿,,False,False,8239.70万,False,False,False,1.65亿,1.65亿,False,4884.69万,4884.69万,False,4373.38万,False,False,55.42万,7735.20万,4.24亿,11.23亿,,1436.77万,False,6034.93万,2543.41万,3491.52万,1022.77万,False,934.78万,261.79万,91.81万,11.80万,False,80.02万,1500.00万,False,1.13亿,,False,False,False,False,False,False,False,False,2567.50万,2567.50万,1.39亿,,1.47亿,7.23亿,False,False,1546.48万,9896.53万,9.84亿,False,9.84亿,11.23亿
2011-09-30,,9.76亿,11.08亿,1.32亿,9.76亿,,,4.10亿,False,1.31亿,1.00亿,3057.71万,3723.46万,916.16万,619.90万,296.26万,1.41亿,False,4.10亿,7.28亿,,False,False,8208.96万,False,False,False,9486.44万,9475.66万,10.78万,8032.19万,8032.19万,False,4522.93万,False,False,64.46万,7231.63万,3.80亿,11.08亿,,1848.34万,False,5675.72万,2842.15万,2833.56万,915.05万,False,994.14万,-232.87万,134.13万,False,False,134.13万,False,False,9334.51万,,1500.00万,False,False,False,False,False,False,False,2351.25万,3851.25万,1.32亿,,1.47亿,7.23亿,False,False,1161.00万,9484.36万,9.76亿,False,9.76亿,11.08亿
2011-06-30,,9.64亿,10.91亿,1.27亿,9.64亿,,,4.15亿,False,1.18亿,8154.53万,3683.95万,6073.72万,771.29万,386.31万,384.98万,1.17亿,False,4.15亿,7.19亿,,False,False,8208.96万,False,False,False,7299.68万,7268.52万,31.17万,9839.15万,9839.15万,False,4427.33万,False,False,80.34万,6992.95万,3.72亿,10.91亿,,1848.34万,False,5263.18万,665.61万,4597.57万,705.68万,False,946.84万,86.07万,23.67万,False,False,23.67万,False,False,8873.77万,,1500.00万,False,False,False,False,False,False,False,2358.00万,3858.00万,1.27亿,,1.47亿,7.23亿,False,False,1161.00万,8239.07万,9.64亿,False,9.64亿,10.91亿
2011-03-31,,9.63亿,10.45亿,8234.20万,9.63亿,,,5.04亿,False,1.06亿,5889.74万,4670.33万,1376.25万,873.93万,437.92万,436.01万,1.30亿,False,5.04亿,7.61亿,,False,False,2.00万,False,False,False,1.25亿,1.25亿,False,4263.23万,4263.23万,False,4454.30万,False,False,40.31万,6852.48万,2.84亿,10.45亿,,False,False,3186.05万,False,3186.05万,467.54万,False,847.76万,-246.53万,60.14万,False,False,60.14万,False,False,4314.95万,,1500.00万,False,False,False,False,False,False,False,2419.25万,3919.25万,8234.20万,,9800.00万,7.72亿,False,False,1161.00万,8123.66万,9.63亿,False,9.63亿,10.45亿
2010-12-31,,9.54亿,10.50亿,9579.97万,9.54亿,,,5.30亿,False,8933.12万,7262.40万,1670.72万,811.97万,441.92万,195.96万,245.96万,1.44亿,False,5.30亿,7.76亿,,False,False,2.00万,False,False,False,7616.28万,7616.28万,False,8254.16万,8254.16万,False,4481.27万,False,False,78.84万,6739.30万,2.74亿,10.50亿,,False,False,3369.71万,False,3369.71万,756.30万,False,663.66万,752.59万,57.21万,False,False,57.21万,False,False,5599.47万,,1500.00万,False,False,False,False,False,False,False,2480.50万,3980.50万,9579.97万,,9800.00万,7.72亿,False,False,1161.00万,7239.41万,9.54亿,False,9.54亿,10.50亿
2010-09-30,,9.44亿,11.04亿,1.60亿,9.44亿,,,6.69亿,False,5879.86万,2775.43万,3104.42万,3126.12万,287.85万,False,287.85万,1.03亿,False,6.69亿,8.65亿,,False,False,2.00万,False,False,False,6262.96万,6256.89万,6.07万,7018.90万,6315.55万,703.36万,4511.82万,False,False,78.23万,5884.35万,2.39亿,11.04亿,,3900.00万,False,3732.03万,False,3732.03万,477.79万,False,474.91万,-112.31万,473.58万,False,False,473.58万,False,False,8946.00万,,5000.00万,False,False,False,False,False,False,False,2032.63万,7032.63万,1.60亿,,9800.00万,7.72亿,False,False,822.44万,6614.88万,9.44亿,False,9.44亿,11.04亿
2010-06-30,,2.56亿,4.39亿,1.83亿,2.56亿,,,1884.29万,False,5499.76万,3468.83万,2030.92万,2358.51万,282.63万,False,282.63万,1.18亿,False,1884.29万,2.18亿,,False,False,2.00万,False,False,False,6480.61万,6480.61万,False,5628.52万,5628.52万,False,4535.22万,False,False,69.08万,5303.20万,2.21亿,4.39亿,,6450.00万,False,3649.11万,False,3649.11万,503.37万,False,493.26万,94.68万,25.14万,False,False,25.14万,False,False,1.12亿,,5000.00万,False,False,False,False,False,False,False,2068.75万,7068.75万,1.83亿,,7350.00万,1.19亿,False,False,822.44万,5592.20万,2.56亿,False,2.56亿,4.39亿
2009-12-31,,2.37亿,3.88亿,1.51亿,2.37亿,,,4534.95万,False,5041.20万,4508.66万,532.54万,2095.03万,124.30万,False,124.30万,8102.86万,False,4534.95万,1.99亿,,False,False,3.00万,False,False,False,6703.96万,6703.96万,False,2763.68万,2763.68万,False,4474.66万,False,2.40万,97.46万,4706.81万,1.89亿,3.88亿,,5850.00万,False,1219.80万,False,1219.80万,222.90万,False,317.44万,293.26万,37.03万,False,False,37.03万,False,False,7940.43万,,5000.00万,False,False,False,False,False,False,False,2141.00万,7141.00万,1.51亿,,7350.00万,1.19亿,False,False,822.44万,3689.56万,2.37亿,False,2.37亿,3.88亿
2008-12-31,,2.46亿,3.70亿,1.24亿,2.38亿,,,5346.92万,False,2984.54万,2311.77万,672.77万,714.77万,72.55万,False,72.55万,1.10亿,False,5346.92万,2.01亿,,False,False,3.00万,False,False,False,7048.45万,7048.45万,False,1293.86万,1293.86万,False,4575.14万,False,8.36万,194.07万,3740.50万,1.69亿,3.70亿,,7380.00万,False,1073.60万,False,1073.60万,243.03万,False,252.32万,-181.20万,2047.08万,False,False,2047.08万,False,False,1.08亿,,False,False,False,False,False,False,False,False,1605.50万,1605.50万,1.24亿,,7350.00万,1.19亿,False,False,482.96万,4057.05万,2.38亿,803.23万,2.46亿,3.70亿
2007-12-31,,1.79亿,2.89亿,1.10亿,1.80亿,,,3668.42万,False,2959.20万,2737.44万,221.76万,636.89万,69.54万,False,69.54万,9861.35万,False,3668.42万,1.72亿,,False,False,3.00万,False,False,False,7029.57万,7029.57万,False,False,False,False,4526.20万,False,False,136.37万,False,1.17亿,2.89亿,,3580.00万,False,3424.50万,False,3424.50万,647.89万,False,448.14万,612.85万,1857.82万,False,False,1857.82万,False,False,1.06亿,,False,False,False,False,False,False,False,False,450.00万,450.00万,1.10亿,,7200.00万,1.06亿,False,False,30.02万,117.03万,1.80亿,-92.55万,1.79亿,2.89亿
