报告期,报表核心指标,*现金及现金等价物净增加额,*经营活动产生的现金流量净额,*投资活动产生的现金流量净额,*筹资活动产生的现金流量净额,*期末现金及现金等价物余额,报表全部指标,一、经营活动产生的现金流量,销售商品、提供劳务收到的现金,收到的税费与返还,收到其他与经营活动有关的现金,经营活动现金流入小计,购买商品、接受劳务支付的现金,支付给职工以及为职工支付的现金,支付的各项税费,支付其他与经营活动有关的现金,经营活动现金流出小计,经营活动产生的现金流量净额,二、投资活动产生的现金流量,收回投资收到的现金,取得投资收益收到的现金,处置固定资产、无形资产和其他长期资产收回的现金净额,处置子公司及其他营业单位收到的现金净额,收到其他与投资活动有关的现金,投资活动现金流入小计,购建固定资产、无形资产和其他长期资产支付的现金,投资支付的现金,取得子公司及其他营业单位支付的现金净额,支付其他与投资活动有关的现金,投资活动现金流出小计,投资活动产生的现金流量净额,三、筹资活动产生的现金流量,吸收投资收到的现金,其中：子公司吸收少数股东投资收到的现金,取得借款收到的现金,收到其他与筹资活动有关的现金,筹资活动现金流入小计,偿还债务支付的现金,分配股利、利润或偿付利息支付的现金,其中：子公司支付给少数股东的股利、利润,支付其他与筹资活动有关的现金,筹资活动现金流出小计,筹资活动产生的现金流量净额,四、汇率变动对现金及现金等价物的影响,五、现金及现金等价物净增加额,加：期初现金及现金等价物余额,六、期末现金及现金等价物余额,补充资料：,1、将净利润调节为经营活动现金流量：,净利润,加：资产减值准备,固定资产折旧、油气资产折耗、生产性生物资产折旧,无形资产摊销,长期待摊费用摊销,处置固定资产、无形资产和其他长期资产的损失,固定资产报废损失,公允价值变动损失,财务费用,投资损失,递延所得税资产减少,递延所得税负债增加,存货的减少,经营性应收项目的减少,经营性应付项目的增加,其他,间接法-经营活动产生的现金流量净额,2、不涉及现金收支的重大投资和筹资活动：,融资租入固定资产,3、现金及现金等价物净变动情况：,现金的期末余额,减：现金的期初余额,间接法-现金及现金等价物净增加额
2017-12-31,,-1.01亿,3.17亿,-6.93亿,3.18亿,17.74亿,,,69.67亿,1.23亿,2.24亿,73.14亿,40.17亿,17.02亿,3.68亿,9.10亿,69.97亿,3.17亿,,1386.79万,False,2347.19万,9545.08万,False,1.33亿,7.89亿,False,False,3729.28万,8.26亿,-6.93亿,,False,False,48.45亿,False,48.45亿,41.35亿,3.61亿,5153.96万,3053.96万,45.26亿,3.18亿,-4288.46万,-1.01亿,18.75亿,17.74亿,,,6.71亿,4823.51万,2.94亿,8426.25万,1513.67万,-106.05万,1082.08万,-203.35万,2.79亿,-6.57亿,586.44万,229.61万,-3.43亿,-13.36亿,12.45亿,False,3.17亿,,False,,17.74亿,18.75亿,-1.01亿
2017-09-30,,1.09亿,1.06亿,-3.40亿,3.18亿,19.85亿,,,69.11亿,1.16亿,1.22亿,71.49亿,48.24亿,12.50亿,3.02亿,6.67亿,70.43亿,1.06亿,,1386.79万,False,764.16万,5485.17万,False,7636.12万,4.16亿,False,False,False,4.16亿,-3.40亿,,False,False,31.92亿,False,31.92亿,26.58亿,2.03亿,154.22万,1390.07万,28.75亿,3.18亿,2563.03万,1.09亿,18.75亿,19.85亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2017-06-30,,2.40亿,-68.30万,-2.78亿,4.94亿,21.16亿,,,46.02亿,7484.56万,7555.70万,47.53亿,31.53亿,8.64亿,2.12亿,5.24亿,47.54亿,-68.30万,,1386.79万,False,437.00万,False,False,1823.79万,2.97亿,False,False,False,2.97亿,-2.78亿,,False,False,24.33亿,False,24.33亿,17.70亿,1.59亿,154.22万,966.07万,19.39亿,4.94亿,2527.28万,2.40亿,18.75亿,21.16亿,,,1.32亿,1902.29万,1.43亿,3917.61万,767.72万,503.17万,False,False,1.24亿,-882.77万,-3392.50万,321.72万,-3.56亿,-5.43亿,4.67亿,False,-68.30万,,False,,21.16亿,18.75亿,2.40亿
2017-03-31,,2.37亿,-3664.83万,-1.22亿,3.89亿,21.13亿,,,21.68亿,3635.35万,8836.52万,22.92亿,15.08亿,4.73亿,1.00亿,2.48亿,23.29亿,-3664.83万,,1386.79万,False,141.75万,False,False,1528.54万,1.37亿,False,False,False,1.37亿,-1.22亿,,False,False,14.74亿,False,14.74亿,10.31亿,4933.56万,False,420.45万,10.84亿,3.89亿,670.76万,2.37亿,18.75亿,21.13亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2016-12-31,,4.63亿,9441.57万,-20.39亿,24.50亿,18.75亿,,,65.51亿,1.04亿,2.73亿,69.28亿,41.07亿,16.78亿,4.09亿,6.39亿,68.34亿,9441.57万,,944.44万,89.40万,3990.36万,False,False,5024.20万,6.48亿,12.68亿,1.73亿,False,20.89亿,-20.39亿,,16.20亿,2310.00万,36.49亿,1.74亿,54.44亿,26.69亿,3.08亿,False,1800.00万,29.94亿,24.50亿,-4298.22万,4.63亿,14.13亿,18.75亿,,,2.88亿,1246.55万,2.89亿,6388.53万,1224.62万,248.07万,False,-2.08亿,2.61亿,-1674.00万,-1.07亿,2387.28万,-2603.20万,-5.35亿,3415.94万,False,9441.57万,,4230.00万,,18.75亿,14.13亿,4.63亿
2016-09-30,,1.51亿,-9195.19万,-18.90亿,21.23亿,15.64亿,,,62.91亿,6169.30万,1.38亿,64.91亿,43.52亿,12.71亿,3.15亿,6.45亿,65.83亿,-9195.19万,,False,False,1534.85万,False,False,1534.85万,4.94亿,12.26亿,1.85亿,False,19.06亿,-18.90亿,,16.20亿,1960.00万,30.86亿,1.71亿,48.76亿,23.79亿,2.34亿,False,1.40亿,27.53亿,21.23亿,1010.57万,1.51亿,14.13亿,15.64亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2016-06-30,,4.55亿,-1.32亿,-5.37亿,11.16亿,18.68亿,,,40.73亿,3590.96万,9486.85万,42.04亿,28.46亿,7.84亿,2.32亿,4.74亿,43.36亿,-1.32亿,,False,False,1257.49万,False,False,1257.49万,3.37亿,2.12亿,False,False,5.49亿,-5.37亿,,16.20亿,1.48亿,13.78亿,6845.19万,30.66亿,16.65亿,1.79亿,False,1.07亿,19.50亿,11.16亿,678.78万,4.55亿,14.13亿,18.68亿,,,1.62亿,608.80万,1.46亿,2748.70万,360.47万,-955.00万,False,-111.60万,1.11亿,-1182.84万,-1970.38万,-252.12万,6.84万,-5.75亿,3165.40万,False,-1.32亿,,False,,18.68亿,14.13亿,4.55亿
2016-03-31,,6.15亿,-2.58亿,-1.88亿,10.18亿,20.27亿,,,18.81亿,2402.68万,7429.09万,19.79亿,13.74亿,4.42亿,1.14亿,3.07亿,22.37亿,-2.58亿,,False,False,1060.42万,False,False,1060.42万,1.99亿,12.50万,False,False,1.99亿,-1.88亿,,16.00亿,False,7.02亿,2.07亿,25.08亿,13.89亿,4859.45万,False,5320.19万,14.91亿,10.18亿,4346.64万,6.15亿,14.13亿,20.27亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2015-12-31,,2.64亿,8.60亿,-22.00亿,16.57亿,14.13亿,,,81.05亿,9164.36万,2.21亿,84.17亿,50.70亿,14.86亿,3.18亿,6.82亿,75.57亿,8.60亿,,7230.71万,866.92万,7348.14万,653.14万,False,1.61亿,5.53亿,5041.79万,17.58亿,False,23.61亿,-22.00亿,,1600.00万,1600.00万,50.93亿,1.10亿,52.19亿,31.61亿,2.94亿,117.85万,1.07亿,35.62亿,16.57亿,-5285.49万,2.64亿,11.49亿,14.13亿,,,4.35亿,4661.07万,2.79亿,4830.40万,412.58万,-3576.72万,False,171.86万,2.79亿,-1311.28万,-2217.55万,-3742.67万,5990.94万,-1.64亿,-2109.06万,False,8.60亿,,False,,14.13亿,11.49亿,2.64亿
2015-09-30,,2.01亿,1.86亿,-16.39亿,16.72亿,13.49亿,,,60.29亿,8513.22万,1.09亿,62.23亿,40.60亿,11.50亿,2.32亿,5.95亿,60.37亿,1.86亿,,1000.00万,False,7632.40万,False,5663.02万,1.43亿,3.72亿,2000.00万,13.90亿,False,17.82亿,-16.39亿,,1000.00万,1000.00万,36.08亿,1.47亿,37.65亿,17.05亿,2.78亿,False,1.10亿,20.93亿,16.72亿,-1788.43万,2.01亿,11.49亿,13.49亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2015-06-30,,2.59亿,1.73亿,-15.15亿,16.25亿,14.08亿,,,39.89亿,5458.45万,8837.26万,41.32亿,27.25亿,7.99亿,1.48亿,2.87亿,39.59亿,1.73亿,,1000.00万,False,182.02万,False,5500.00万,6682.02万,1.92亿,False,13.90亿,False,15.82亿,-15.15亿,,1000.00万,1000.00万,29.45亿,1.17亿,30.72亿,12.00亿,1.92亿,False,5441.71万,14.46亿,16.25亿,-2311.16万,2.59亿,11.49亿,14.08亿,,,2.32亿,708.10万,1.37亿,1876.09万,179.69万,-3231.70万,False,-23.74万,9572.02万,-1070.89万,-468.82万,-1352.24万,7051.75万,-6.35亿,3.06亿,False,1.73亿,,False,,14.08亿,11.49亿,2.59亿
2015-03-31,,5.73亿,-2642.67万,-6.65亿,13.06亿,17.22亿,,,17.84亿,3026.45万,4057.00万,18.55亿,12.87亿,3.69亿,4859.91万,1.77亿,18.82亿,-2642.67万,,False,False,125.65万,False,False,125.65万,1.15亿,False,5.52亿,False,6.66亿,-6.65亿,,1000.00万,1000.00万,16.68亿,1.16亿,17.95亿,3.35亿,1.14亿,False,3858.78万,4.88亿,13.06亿,-4136.77万,5.73亿,11.49亿,17.22亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2014-12-31,,-2.86亿,6.43亿,-4.66亿,-4.14亿,11.49亿,,,61.81亿,6631.22万,8167.12万,63.29亿,35.28亿,14.40亿,1.31亿,5.87亿,56.86亿,6.43亿,,1.00亿,518.00万,1.42亿,False,795.61万,2.56亿,4.29亿,7125.00万,1.67亿,5500.00万,7.22亿,-4.66亿,,4976.56万,4976.56万,25.93亿,1.71亿,28.14亿,26.21亿,3.09亿,2722.74万,2.98亿,32.28亿,-4.14亿,-4894.45万,-2.86亿,14.34亿,11.49亿,,,4.76亿,2688.21万,1.87亿,3526.73万,281.45万,-9693.35万,False,85.98万,1.97亿,-3011.17万,-6170.50万,-949.98万,-1.84亿,-1.53亿,2.53亿,False,6.43亿,,False,,11.49亿,14.34亿,-2.86亿
2014-09-30,,-5.02亿,1.30亿,-2.87亿,-3.31亿,9.32亿,,,46.39亿,5529.25万,1.78亿,48.72亿,30.29亿,10.82亿,1.51亿,4.79亿,47.42亿,1.30亿,,False,518.00万,231.01万,False,1.08亿,1.16亿,2.61亿,8125.00万,5771.10万,252.40万,4.03亿,-2.87亿,,3460.00万,3460.00万,17.22亿,637.20万,17.63亿,17.47亿,2.57亿,2040.00万,9039.73万,20.94亿,-3.31亿,-1431.88万,-5.02亿,14.34亿,9.32亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2014-06-30,,-5.62亿,5501.91万,-7025.00万,-5.46亿,8.72亿,,,31.75亿,3801.35万,5337.47万,32.67亿,21.97亿,7.31亿,6955.62万,2.14亿,32.12亿,5501.91万,,False,518.00万,204.60万,False,1.05亿,1.12亿,1.65亿,1725.00万,False,False,1.83亿,-7025.00万,,1960.00万,1960.00万,10.58亿,1144.65万,10.89亿,14.37亿,1.46亿,False,5154.00万,16.35亿,-5.46亿,-141.72万,-5.62亿,14.34亿,8.72亿,,,1.59亿,1008.02万,9906.02万,2350.09万,29.17万,-103.25万,6.34万,112.15万,7903.70万,-1057.82万,-976.08万,372.00万,-4150.07万,-3.09亿,5257.93万,-133.47万,5501.91万,,False,,8.72亿,14.34亿,-5.62亿
2014-03-31,,-4.37亿,-5863.90万,2914.97万,-4.09亿,9.97亿,,,14.07亿,2533.76万,4932.28万,14.82亿,9.84亿,3.62亿,3222.70万,1.63亿,15.41亿,-5863.90万,,False,False,22.64万,False,1.05亿,1.05亿,7626.11万,False,False,False,7626.11万,2914.97万,,1960.00万,1960.00万,4.88亿,701.48万,5.15亿,8.65亿,4573.91万,False,1304.21万,9.24亿,-4.09亿,103.23万,-4.37亿,14.34亿,9.97亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2013-12-31,,2.52亿,2.70亿,-9.55亿,9.33亿,14.34亿,,,58.91亿,8234.76万,5965.56万,60.33亿,38.56亿,13.31亿,1.23亿,4.52亿,57.62亿,2.70亿,,False,1162.46万,8568.97万,82.72万,False,9814.15万,4.15亿,5.08亿,1.31亿,False,10.53亿,-9.55亿,,980.00万,980.00万,28.50亿,5498.45万,29.14亿,17.11亿,1.82亿,2763.28万,8890.16万,19.82亿,9.33亿,384.14万,2.52亿,11.83亿,14.34亿,,,4.07亿,4224.20万,1.77亿,2409.05万,248.08万,-5581.22万,False,-93.90万,1.21亿,-1652.75万,-7991.44万,-1446.53万,-6522.32万,-5.77亿,3.14亿,-707.73万,2.70亿,,False,,14.34亿,11.83亿,2.52亿
2013-09-30,,-8849.95万,2171.99万,-6.40亿,5.30亿,10.94亿,,,35.47亿,6648.24万,1.40亿,37.54亿,23.20亿,7.65亿,8006.15万,5.68亿,37.32亿,2171.99万,,False,1036.00万,8508.38万,82.72万,2753.00万,1.24亿,2.58亿,5.03亿,False,202.45万,7.63亿,-6.40亿,,False,False,19.81亿,3023.63万,20.11亿,12.45亿,1.53亿,2763.28万,8352.35万,14.81亿,5.30亿,-36.70万,-8849.95万,11.83亿,10.94亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2013-06-30,,-4470.29万,8046.71万,-2.54亿,1.40亿,11.38亿,,,23.80亿,4790.33万,5797.82万,24.86亿,15.30亿,6.08亿,5790.82万,2.10亿,24.05亿,8046.71万,,False,1036.00万,8085.59万,82.72万,88.69万,9293.01万,1.63亿,1.84亿,False,False,3.47亿,-2.54亿,,False,False,12.87亿,2701.64万,13.14亿,9.87亿,1.25亿,2040.00万,6223.06万,11.74亿,1.40亿,-1088.82万,-4470.29万,11.83亿,11.38亿,,,1.38亿,1798.15万,8928.70万,1171.90万,98.52万,-5400.31万,1400.00,False,6440.64万,-1584.77万,-24.33万,-269.06万,3744.36万,-2.20亿,1689.38万,-303.17万,8046.71万,,False,,11.38亿,11.83亿,-4470.29万
2013-03-31,,-7499.54万,-5034.53万,-1.51亿,1.41亿,11.08亿,,,13.15亿,1497.28万,2898.21万,13.59亿,9.40亿,3.14亿,2027.95万,1.34亿,14.09亿,-5034.53万,,False,False,7611.16万,82.72万,45.26万,7739.15万,7699.63万,1.51亿,False,False,2.28亿,-1.51亿,,False,False,9.02亿,1846.50万,9.21亿,7.22亿,4782.36万,False,976.47万,7.80亿,1.41亿,-1479.31万,-7499.54万,11.83亿,11.08亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2012-12-31,,-3.16亿,3.85亿,-2.23亿,-4.82亿,11.83亿,,,50.94亿,7327.63万,2.30亿,53.97亿,28.68亿,12.30亿,1.32亿,7.81亿,50.11亿,3.85亿,,59.23万,1084.51万,9845.48万,False,False,1.10亿,3.33亿,5.21万,False,False,3.33亿,-2.23亿,,5.20亿,2000.00万,11.45亿,1.07亿,17.72亿,20.29亿,1.45亿,1923.39万,7942.57万,22.54亿,-4.82亿,395.97万,-3.16亿,14.99亿,11.83亿,,,2.90亿,2393.31万,1.49亿,2151.66万,326.98万,-5864.19万,False,False,1.37亿,-1807.18万,-1407.77万,-1764.52万,967.03万,5516.51万,-1.84亿,-1209.06万,3.85亿,,False,,11.83亿,14.99亿,-3.16亿
2012-09-30,,-4.87亿,1.87亿,-2.81亿,-3.94亿,10.12亿,,,36.45亿,5002.84万,2.46亿,39.41亿,21.70亿,8.91亿,8807.95万,6.05亿,37.54亿,1.87亿,,False,1036.00万,309.70万,False,83.03万,1428.73万,2.38亿,1689.50万,False,4054.84万,2.95亿,-2.81亿,,False,False,14.05亿,1.30亿,15.35亿,17.33亿,1.23亿,1758.39万,7267.56万,19.28亿,-3.94亿,-24.21万,-4.87亿,14.99亿,10.12亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2012-06-30,,-2.36亿,5127.23万,-1.01亿,-1.87亿,6.84亿,,,10.24亿,3035.82万,6579.73万,11.20亿,7.39亿,1.46亿,5295.72万,1.30亿,10.69亿,5127.23万,,False,1036.00万,70.67万,False,False,1106.67万,1.12亿,False,False,False,1.12亿,-1.01亿,,False,False,9.35亿,7600.26万,10.11亿,10.76亿,7305.59万,False,4860.57万,11.98亿,-1.87亿,False,-2.36亿,9.20亿,6.84亿,,,4442.47万,240.87万,3336.18万,399.83万,105.02万,-51.55万,3.83万,False,4322.38万,-1507.66万,-366.35万,False,2362.28万,-1.03亿,2119.81万,False,5127.23万,,False,,6.84亿,9.20亿,-2.36亿
2012-03-31,,2.63亿,5865.51万,-6772.23万,2.72亿,11.83亿,,,4.93亿,1799.89万,3575.90万,5.46亿,3.29亿,7253.71万,2332.37万,6318.44万,4.88亿,5865.51万,,False,False,17.75万,False,False,17.75万,6789.98万,False,False,False,6789.98万,-6772.23万,,False,False,7.30亿,1010.61万,7.40亿,4.26亿,1989.54万,False,2249.76万,4.68亿,2.72亿,False,2.63亿,9.20亿,11.83亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2011-12-31,,-2.83亿,-1.03亿,-6.00亿,4.20亿,9.20亿,,,25.21亿,9650.53万,1.29亿,27.46亿,22.17亿,2.61亿,9938.98万,2.71亿,28.49亿,-1.03亿,,2.20亿,1927.52万,3404.06万,False,False,2.73亿,4.77亿,2.90亿,1.07亿,False,8.74亿,-6.00亿,,2572.98万,1200.00万,16.52亿,414.32万,16.82亿,10.14亿,1.31亿,2325.70万,1.17亿,12.62亿,4.20亿,False,-2.83亿,12.03亿,9.20亿,,,1.30亿,-1513.75万,6087.16万,724.64万,276.84万,-2467.03万,False,85.97万,7365.54万,-3188.79万,-1029.60万,-34.39万,1.23亿,899.05万,-4.28亿,False,-1.03亿,,False,,9.20亿,12.03亿,-2.83亿
2011-09-30,,-3.82亿,-2.45亿,-4.66亿,3.29亿,8.21亿,,,18.81亿,7877.81万,1.38亿,20.98亿,17.53亿,1.94亿,8830.97万,3.08亿,23.44亿,-2.45亿,,False,1927.52万,33.59万,False,2.20亿,2.40亿,3.79亿,False,1.07亿,2.20亿,7.05亿,-4.66亿,,2576.78万,1200.00万,10.80亿,570.00万,11.11亿,6.09亿,1.25亿,1855.70万,4848.81万,7.82亿,3.29亿,False,-3.82亿,12.03亿,8.21亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2011-06-30,,-1.48亿,-1.65亿,-5.09亿,5.26亿,10.55亿,,,12.87亿,5589.11万,8402.18万,14.26亿,12.08亿,1.34亿,6455.00万,1.85亿,15.91亿,-1.65亿,,False,1374.20万,33.59万,False,False,1407.79万,1.97亿,False,1.07亿,2.20亿,5.23亿,-5.09亿,,2572.98万,1200.00万,8.52亿,688.00万,8.85亿,2.46亿,7040.42万,False,4200.71万,3.59亿,5.26亿,False,-1.48亿,12.03亿,10.55亿,,,6006.22万,-1406.61万,2947.04万,314.80万,130.43万,-16.70万,False,-8.84万,2752.65万,-2687.65万,-6.03万,41.30万,-5239.41万,288.58万,-1.96亿,False,-1.65亿,,False,,10.55亿,12.03亿,-1.48亿
2011-03-31,,-6.62亿,-3.09亿,-4.35亿,8286.16万,5.42亿,,,5.35亿,3106.96万,5327.24万,6.20亿,7.25亿,7177.13万,3049.24万,1.02亿,9.29亿,-3.09亿,,False,False,4.59万,False,False,4.59万,1.08亿,2.20亿,1.07亿,False,4.35亿,-4.35亿,,2572.98万,1200.00万,7050.00万,3650.02万,1.33亿,1873.00万,2337.34万,False,776.50万,4986.84万,8286.16万,False,-6.62亿,12.03亿,5.42亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2010-12-31,,7.07亿,7493.80万,-3.23亿,9.55亿,12.03亿,,,26.95亿,6974.04万,1.11亿,28.75亿,22.32亿,1.88亿,1.19亿,2.61亿,28.00亿,7493.80万,,False,989.08万,283.71万,False,False,1272.79万,3.33亿,259.76万,False,False,3.35亿,-3.23亿,,9.68亿,343.00万,6.80亿,1694.20万,16.66亿,6.33亿,6377.64万,603.31万,1377.62万,7.11亿,9.55亿,False,7.07亿,4.96亿,12.03亿,,,2.44亿,1031.04万,4248.73万,447.63万,334.68万,-143.30万,False,30.57万,2990.22万,-3224.57万,-96.37万,34.39万,-2.45亿,-1.70亿,1.89亿,False,7493.80万,,False,,12.03亿,4.96亿,7.07亿
2010-09-30,,4.95亿,-5067.86万,-2.18亿,7.64亿,9.91亿,,,17.53亿,5403.62万,7316.10万,18.80亿,14.71亿,1.42亿,1.12亿,2.06亿,19.31亿,-5067.86万,,False,397.08万,195.48万,False,False,592.56万,2.22亿,224.18万,False,False,2.24亿,-2.18亿,,9.65亿,False,3.11亿,1694.20万,12.93亿,4.71亿,5362.25万,603.31万,393.08万,5.29亿,7.64亿,False,4.95亿,4.96亿,9.91亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2010-06-30,,8.08亿,-3058.74万,-1.19亿,9.58亿,13.05亿,,,11.65亿,2762.45万,4971.58万,12.43亿,9.61亿,9742.80万,8132.86万,1.34亿,12.73亿,-3058.74万,,False,397.08万,86.84万,False,False,483.93万,1.23亿,12.50万,False,False,1.24亿,-1.19亿,,9.44亿,False,3.02亿,1694.20万,12.63亿,2.53亿,4833.92万,603.31万,370.95万,3.05亿,9.58亿,False,8.08亿,4.96亿,13.05亿,,,1.37亿,646.12万,2085.55万,205.10万,216.20万,-56.53万,False,False,1461.50万,-1479.19万,-231.46万,False,-4919.74万,-1.56亿,920.04万,False,-3058.74万,,False,,13.05亿,4.96亿,8.08亿
2010-03-31,,-1.28亿,-6013.32万,-5292.76万,-1459.29万,3.69亿,,,4.84亿,1332.13万,3095.14万,5.28亿,4.25亿,5422.72万,4073.89万,6833.32万,5.88亿,-6013.32万,,False,397.08万,22.45万,False,False,419.53万,5699.79万,12.50万,False,False,5712.29万,-5292.76万,,False,False,1.32亿,877.20万,1.41亿,1.23亿,3248.49万,False,False,1.56亿,-1459.29万,False,-1.28亿,4.96亿,3.69亿,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False
2009-12-31,,1.34亿,2.04亿,-1.91亿,1.20亿,4.96亿,,,22.20亿,8689.00万,8280.67万,23.89亿,17.41亿,1.38亿,1.23亿,1.83亿,21.85亿,2.04亿,,False,1245.36万,2417.61万,False,False,3662.97万,1.85亿,453.12万,3825.08万,False,2.27亿,-1.91亿,,2290.92万,False,6.90亿,False,7.13亿,5.04亿,7070.65万,1313.84万,1781.77万,5.93亿,1.20亿,False,1.34亿,3.63亿,4.96亿,,,2.26亿,1800.54万,4141.53万,312.60万,259.55万,-928.77万,False,False,2347.04万,-2436.36万,-460.76万,False,-1.29亿,-1.18亿,1.75亿,False,2.04亿,,False,,4.96亿,3.63亿,1.34亿
